,monkey,rt,coh,correct,trgchoice
0,2,0.1991091,0.6,1,1
1,2,0.4861852,0.4,0,2
2,2,0.4962744,0.4,0,1
3,2,0.6636377,0.2,0,2
4,2,0.4667629,0.5,0,1
5,2,0.4500755,0.7,1,1
6,2,0.3186843,0.8,1,1
7,2,0.5625896,0.7,1,1
8,2,0.4066873,0.4,0,2
9,2,0.6294376,0.5,0,1
10,2,0.5186366,0.6,1,2
11,2,0.5311846,0.7,1,1
12,2,0.3436586,0.8,1,1
13,2,0.4642029,0.4,0,2
14,2,0.4663425,0.4,0,2
15,2,0.5753122,0.2,0,2
16,2,0.5302163,0.3,0,2
17,2,0.3423439,0.8,1,1
18,2,0.5811274,0.7,1,1
19,2,0.4469662,0.2,0,2
20,2,0.4331515,0.2,0,2
21,2,0.5721711,0.2,0,2
22,2,0.716213,0.3,0,2
23,2,0.3363031,0.8,1,1
24,2,0.8239862,0.4,0,1
25,2,0.4000672,0.7,1,1
26,2,0.3828672,0.8,1,1
27,2,1.3870951,0.4,0,1
28,2,0.3948214,0.3,0,2
29,2,0.5948284,0.4,0,2
30,2,0.4963434,0.2,0,2
31,2,0.4236467,0.7,1,1
32,2,0.6892538,0.8,1,1
33,2,1.0146668,0.6,1,1
34,2,0.5392034,0.2,0,2
35,2,1.194288,0.4,0,2
36,2,0.8557078,0.4,0,1
37,2,0.80109,0.6,1,1
38,2,0.5979137,0.5,1,1
39,2,0.606626,0.8,1,1
40,2,0.3875377,0.6,1,1
41,2,1.6097832,0.6,1,1
42,2,1.0834071,0.4,0,2
43,2,0.9519992,0.8,1,1
44,2,0.9236895,0.7,1,1
45,2,0.7630204,0.5,0,1
46,2,0.5668133,0.4,0,2
47,2,0.7537181,0.4,0,2
48,2,0.6482402,0.5,0,2
49,2,0.2562075,0.8,1,1
50,2,0.6034743,0.3,0,2
51,2,0.5710351,0.6,1,1
52,2,0.3451032,0.6,1,1
53,2,0.6252263,0.4,0,2
54,2,0.6461966,0.7,1,1
55,2,0.8289797,0.3,0,2
56,2,0.7890662,0.3,0,2
57,2,0.7865258,0.4,0,2
58,2,1.0023371,0.4,0,1
59,2,0.5852334,0.2,0,2
60,2,0.849684,0.8,1,1
61,2,0.4633413,0.6,1,1
62,2,0.7228654,0.7,1,1
63,2,0.3551532,0.8,1,1
64,2,0.4097568,0.6,1,1
65,2,0.4987647,0.3,0,2
66,2,0.6357319,0.3,0,2
67,2,0.9834397,0.6,1,1
68,2,0.9091306,0.5,1,2
69,2,0.5843779,0.6,1,1
70,2,1.1751712,0.5,0,2
71,2,0.4976917,0.6,1,1
72,2,0.5448002,0.8,1,2
73,2,0.4125356,0.7,1,1
74,2,1.0090091,0.6,1,1
75,2,0.7492386,0.3,0,2
76,2,0.6450275,0.3,0,2
77,2,0.8608983,0.5,0,1
78,2,0.5300303,0.8,1,1
79,2,0.3449238,0.8,1,1
80,2,0.7375112,0.4,0,2
81,2,0.5889533,0.3,0,2
82,2,0.6571944,0.8,1,1
83,2,0.9195198,0.7,1,1
84,2,0.5280807,0.4,0,2
85,2,0.3234353,0.8,1,1
86,2,1.0211713,0.3,0,2
87,2,0.7800846,0.5,1,1
88,2,1.1815803,0.3,0,2
89,2,1.009547,0.6,1,2
90,2,0.7011222,0.3,0,2
91,2,0.6556258,0.3,0,2
92,2,1.1488873,0.3,0,2
93,2,0.8121846,0.5,1,1
94,2,0.9330637,0.7,1,1
95,2,0.3855115,0.8,1,1
96,2,0.6383826,0.2,0,2
97,2,0.95289,0.4,0,2
98,2,0.7764837,0.6,1,1
99,2,0.5172592,0.3,0,2
100,2,0.8526862,0.5,0,1
101,2,0.4452975,0.3,0,2
102,2,0.4226784,0.8,1,1
103,2,0.6855943,0.7,1,1
104,2,1.3659052,0.3,0,2
105,2,0.8095058,0.4,0,1
106,2,0.5717634,0.4,0,2
107,2,0.4654382,0.6,1,1
108,2,0.3111143,0.7,1,1
109,2,0.578912,0.2,0,2
110,2,0.8153286,0.2,0,2
111,2,0.4347982,0.2,0,2
112,2,0.4017593,0.2,0,2
113,2,0.4566257,0.2,0,2
114,2,0.4898751,0.4,0,1
115,2,1.4054108,0.7,1,1
116,2,0.8777146,0.5,0,1
117,2,0.5008355,0.3,0,2
118,2,0.4330425,0.6,1,1
119,2,0.6495421,0.6,1,1
120,2,1.2078792,0.5,0,1
121,2,0.4741151,0.6,1,1
122,2,0.4293788,0.3,0,2
123,2,0.6013152,0.2,0,2
124,2,0.3234739,0.8,1,1
125,2,0.3191299,0.7,1,1
126,2,0.4700505,0.3,0,2
127,2,0.7294425,0.8,1,1
128,2,0.6635717,0.7,1,2
129,2,0.600899,0.2,0,2
130,2,0.6192815,0.2,0,2
131,2,0.5164605,0.5,0,1
132,2,0.3458315,0.8,1,1
133,2,0.8494891,0.4,0,1
134,2,1.9117617,0.5,0,1
135,2,0.3285321,0.8,1,1
136,2,0.4168543,0.2,0,2
137,2,0.6444154,0.6,1,1
138,2,0.5762646,0.5,1,1
139,2,0.6055155,0.7,1,1
140,2,0.3856469,0.8,1,1
141,2,1.0632554,0.3,0,2
142,2,1.0035638,0.2,0,2
143,2,1.1260902,0.7,1,1
144,2,0.7566493,0.7,1,1
145,2,0.5358506,0.5,1,1
146,2,0.8214116,0.3,0,2
147,2,0.821927,0.7,1,2
148,2,1.0245716,0.7,1,1
149,2,1.0491874,0.6,1,1
150,2,0.9657624,0.5,1,1
151,2,0.5791014,0.4,0,2
152,2,0.5350906,0.5,0,2
153,2,1.2610917,0.7,1,1
154,2,0.3213957,0.8,1,1
155,2,0.9321216,0.6,1,1
156,2,0.6613232,0.7,1,1
157,2,0.5457069,0.6,1,1
158,2,1.449995,0.6,1,1
159,2,0.5014153,0.5,1,1
160,2,0.6040235,0.2,0,2
161,2,0.6169996,0.2,0,2
162,2,0.5895082,0.5,0,1
163,2,0.4329843,0.4,0,2
164,2,0.8350205,0.8,1,1
165,2,0.2738091,0.6,1,1
166,2,0.5802395,0.2,0,2
167,2,0.486056,0.3,0,2
168,2,0.4947405,0.7,1,1
169,2,0.8616579,0.3,0,1
170,2,0.5770532,0.2,0,2
171,2,0.2935077,0.5,0,1
172,2,0.3097806,0.5,0,1
173,2,0.4574113,0.2,0,2
174,2,0.4691729,0.3,0,2
175,2,0.7658198,0.5,0,1
176,2,1.2416829,0.4,0,1
177,2,0.3733619,0.5,0,1
178,2,1.357627,0.7,1,1
179,2,0.4817856,0.2,0,2
180,2,0.5657114,0.5,0,1
181,2,1.0212676,0.5,0,2
182,2,0.4574324,0.2,0,2
183,2,0.4495363,0.8,1,1
184,2,0.5059656,0.6,1,1
185,2,0.6030918,0.2,0,2
186,2,1.1321322,0.4,0,1
187,2,0.4710064,0.3,0,2
188,2,0.3491516,0.7,1,1
189,2,0.5211736,0.4,0,2
190,2,0.5538608,0.6,1,1
191,2,0.8801301,0.5,0,1
192,2,0.4675922,0.8,1,1
193,2,3.4161012,0.7,1,1
194,2,1.3956945,0.8,1,1
195,2,0.641544,0.2,0,2
196,2,0.3650738,0.7,1,1
197,2,0.5114767,0.3,0,2
198,2,1.9515477,0.3,0,1
199,2,0.6370125,0.7,1,1
200,2,0.3816979,0.3,0,2
201,2,1.1713252,0.8,1,1
202,2,0.5445271,0.4,0,1
